date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:29:51	11399/11399	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202024%2017:59:52%20GMT	https://results.sofworld.org/results	C:/My%20Web%20Sites/SOF%20Results/results.sofworld.org/results.html	(from )
23:29:51	613/613	---MCZ	200	added ('OK')	text/plain	etag:W/%225761b50b-5c7%22	https://results.sofworld.org/robots.txt		(from )
23:29:52	5430/5430	---M--	200	added ('OK')	image/x-icon	etag:%225cd2d310-1536%22	https://results.sofworld.org/misc/favicon.ico	C:/My%20Web%20Sites/SOF%20Results/results.sofworld.org/misc/favicon.ico	(from https://results.sofworld.org/results)
23:29:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202024%2017:59:53%20GMT	https://results.sofworld.org/node/6437	C:/My%20Web%20Sites/SOF%20Results/results.sofworld.org/node/6437	(from https://results.sofworld.org/results)
23:29:53	7587/7587	---M--	200	added ('OK')	text/css	etag:%22795b30fdbf5d29ebd7b4c7bebd2ad97e%22	https://results-2023.s3.ap-south-1.amazonaws.com/s3fs-public/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css	C:/My%20Web%20Sites/SOF%20Results/results-2023.s3.ap-south-1.amazonaws.com/s3fs-public/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css	(from https://results.sofworld.org/results)
23:29:54	10383/10383	---M--	200	added ('OK')	text/css	etag:%22a556ae26655348ffc2ac2fa0555a1d47%22	https://results-2023.s3.ap-south-1.amazonaws.com/s3fs-public/css/css_HTZ5frdsQ59QXjzphtpyUNa1DWDCXKd2W4gOnOdvBrk.css	C:/My%20Web%20Sites/SOF%20Results/results-2023.s3.ap-south-1.amazonaws.com/s3fs-public/css/css_HTZ5frdsQ59QXjzphtpyUNa1DWDCXKd2W4gOnOdvBrk.css	(from https://results.sofworld.org/results)
23:29:54	3569/3569	---M--	200	added ('OK')	text/css	etag:%22aabc9fcef33929e3beba5dc7f39efa21%22	https://results-2023.s3.ap-south-1.amazonaws.com/s3fs-public/css/css_4KaNE1oWumLh2Q5GbU7nt-ITsbeH5BuWGZ8L2NOvL_U.css	C:/My%20Web%20Sites/SOF%20Results/results-2023.s3.ap-south-1.amazonaws.com/s3fs-public/css/css_4KaNE1oWumLh2Q5GbU7nt-ITsbeH5BuWGZ8L2NOvL_U.css	(from https://results.sofworld.org/results)
23:29:55	15781/15781	---M--	200	added ('OK')	text/css	etag:%223d0a87ad3a680860f729b2133fe96e6b%22	https://results-2023.s3.ap-south-1.amazonaws.com/s3fs-public/css/css_lCx5uVQTQPEhsJc-fVk3nOtOUv82-0ITkDtRCmV5BmQ.css	C:/My%20Web%20Sites/SOF%20Results/results-2023.s3.ap-south-1.amazonaws.com/s3fs-public/css/css_lCx5uVQTQPEhsJc-fVk3nOtOUv82-0ITkDtRCmV5BmQ.css	(from https://results.sofworld.org/results)
23:29:56	93636/93636	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22562624be-16dc4%22	https://results.sofworld.org/sites/all/modules/jquery_update/replace/jquery/1.8/jquery.min.js?v=1.8.3	C:/My%20Web%20Sites/SOF%20Results/results.sofworld.org/sites/all/modules/jquery_update/replace/jquery/1.8/jquery.mina532.js	(from https://results.sofworld.org/results)
23:29:56	3415/3415	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225cd2d310-d57%22	https://results.sofworld.org/misc/jquery-extend-3.4.0.js?v=1.8.3	C:/My%20Web%20Sites/SOF%20Results/results.sofworld.org/misc/jquery-extend-3.4.0a532.js	(from https://results.sofworld.org/results)
23:29:56	2974/2974	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225cd2d310-b9e%22	https://results.sofworld.org/misc/jquery.once.js?v=1.2	C:/My%20Web%20Sites/SOF%20Results/results.sofworld.org/misc/jquery.once7839.js	(from https://results.sofworld.org/results)
23:29:56	20219/20219	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225cd2d310-4efb%22	https://results.sofworld.org/misc/drupal.js?s7aiq0	C:/My%20Web%20Sites/SOF%20Results/results.sofworld.org/misc/drupal4386.js	(from https://results.sofworld.org/results)
23:29:56	2469/2469	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225383d0e4-9a5%22	https://results.sofworld.org/sites/all/modules/jquery_ajax_load/jquery_ajax_load.js?s7aiq0	C:/My%20Web%20Sites/SOF%20Results/results.sofworld.org/sites/all/modules/jquery_ajax_load/jquery_ajax_load4386.js	(from https://results.sofworld.org/results)
23:29:57	1155/1155	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225740e618-483%22	https://results.sofworld.org/sites/all/modules/custom/non_clickable_menu_items/non_clickable_menu_items.js?s7aiq0	C:/My%20Web%20Sites/SOF%20Results/results.sofworld.org/sites/all/modules/custom/non_clickable_menu_items/non_clickable_menu_items4386.js	(from https://results.sofworld.org/results)
23:29:57	1486/1486	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225d8e6c60-5ce%22	https://results.sofworld.org/sites/all/modules/captcha/captcha.js?s7aiq0	C:/My%20Web%20Sites/SOF%20Results/results.sofworld.org/sites/all/modules/captcha/captcha4386.js	(from https://results.sofworld.org/results)
23:29:57	7044/7044	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22600ec2be-1b84%22	https://results.sofworld.org/sites/all/modules/custom/result_cards/js/result_cards.js?s7aiq0	C:/My%20Web%20Sites/SOF%20Results/results.sofworld.org/sites/all/modules/custom/result_cards/js/result_cards4386.js	(from https://results.sofworld.org/results)
23:29:57	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2016%20Jan%202024%2017:59:58%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/SOF%20Results/www.googletagmanager.com/gtm.f5445.delayed	(from https://results.sofworld.org/results)
23:29:58	2475/2475	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jan%202024%2017:59:59%20GMT	https://results.sofworld.org/image_captcha?sid=50153880&ts=1705427992	C:/My%20Web%20Sites/SOF%20Results/results.sofworld.org/image_captcha7a67.jpg	(from https://results.sofworld.org/results)
23:29:58	320/320	---M--	200	added ('OK')	image/png	etag:%22f25e54ee122e29052b7352dfcacc05e7%22	https://results-2023.s3.ap-south-1.amazonaws.com/misc/throbber-inactive.png	C:/My%20Web%20Sites/SOF%20Results/results-2023.s3.ap-south-1.amazonaws.com/misc/throbber-inactive.png	(from https://results-2023.s3.ap-south-1.amazonaws.com/s3fs-public/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css)
